author,name,playVolume,rank,score
想睡在迪士尼的小可爱,小白天克东北虎，石锤了！,2.7万,73,21430
小晓铭,High 到 不 行,1.3万,74,20955
月影酱同学,曾被叫做中国第一、世界一流的国产动画《精灵世纪》，这才叫寓教于乐！,1.1万,75,20526
你的非哥,“这一生，为 你 而 战！”,2.3万,76,20422
希望的天气,萧薰儿新建模评价为何两极分化？对薰儿新造型争议的一些看法,1.8万,77,20362
镖局,张楚岚：用雷劈我老婆？来哪都通后有你好受的,2.7万,78,19903
小虫聊网文,初期不温不火的仙草，后口碑爆发，封神之作！#网文,2.4万,79,19857
我似不是菜鸟,《伍六七》导演透漏第三季大反派，难道真会是梅花十三？,4.2万,80,19729
L另唐,史上最夸张整容事件，童年女明星被爆整容,3.9万,81,19575
名侦探拳头,【拳头说书】解说《凡人修仙传》全本小说2446章合集！（每周五持续更新肝到底！！！）,3.5万,82,19504
银尘飘渺,【1080P】-秦时明月主题曲-《月光》-金框版--原声带,2.5万,83,19496
3s乐儿,关上灯后的乐儿，真的是太美了~,3.1万,84,19396
颜可酱,孙悟空大战妖祖和如来，黑化的孙悟空即是妖王。周传雄借孙悟空复出 周传雄首唱电影主题曲 西游记之再世妖王,3.9万,85,19378
小陌东东,女 神 这 么 飙 ，我 赌 你 不 够 胆 娶 回 家 ！,2.1万,86,19365
互力娱乐,【西行记】他现在有多嚣张，后面就要被猴子虐的多惨,2.8万,87,19350
小琦来了,《刺客伍六七》第三季下篇定档4.7到达玄武国，高燃剧情来袭阿七下线，刺客柒正式上线,2.4万,88,18695
蒙娜丽鲨鱼,“爱着你……从未来到过去。”【斗罗大陆 三舞】,2.1万,89,18024
路过的豆奶特浓,兔子的千层套路,2.3万,90,17963
单身狗的心痛,2020年了，还有人记得童年那首动人歌曲《左手右手》吗,2万,91,17757
四季玉玑子,恐怕只有秦时明月才有这样的台词吧！,2.2万,92,17734
姬弦-zy,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,3.3万,93,17674
她的名字有条路,【天下九歌男子群像】舔屏向 撩人的颜值天团你爱了吗,6163,94,17158
小k旗,这才是喜羊羊的巅峰战力！,3.2万,95,17051
二酱一坨坨,【沈剑心 | 说书人】这才叫高燃好吗？！挑战肾上腺素头皮发麻 正经的沈剑心不比博人传燃？,1.3万,96,16983
吾皇万睡,当小猫咪在街上遇见了过去的自己，妈呀，这是小时候的吾皇和......？！,1.2万,97,16788
-瓜哥-,“我见众生皆无意，唯遇你动了情”,2万,98,16604
狼人沈天,沈天的孩子终于露面了,1.6万,99,16599
露神v,斗罗149｜小舞危 三哥怒 三舞高甜 荣荣小奥发糖 斗罗大陆,1.4万,100,16558
